,name,album,release_date,track_number,valence,popularity,energy,,,
0,Welcome To New York (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,1,0.685,80,0.61,,,
1,Blank Space (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,2,0.701,80,0.733,,,
2,Style (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,3,0.305,81,0.822,,,
3,Out Of The Woods (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,4,0.206,80,0.885,,,
4,All You Had To Do Was Stay (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,5,0.52,79,0.721,,,
5,Shake It Off (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,6,0.917,79,0.808,,,
6,I Wish You Would (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,7,0.539,79,0.858,,,
7,Bad Blood (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,8,0.363,78,0.683,,,
8,Wildest Dreams (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,9,0.514,78,0.674,,,
9,How You Get The Girl (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,10,0.538,78,0.691,,,
10,This Love (Taylor’s Version),1989 (Taylor's Version) [Deluxe],27/10/2023,11,0.0567,77,0.509,,,
11,I Know Places (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,12,0.652,78,0.788,,,
12,Clean (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,13,0.258,78,0.391,,,
13,Wonderland (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,14,0.385,78,0.705,,,
14,You Are In Love (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,15,0.477,78,0.498,,,
15,New Romantics (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,16,0.698,79,0.846,,,
16,"""Slut!"" (Taylor's Version) (From The Vault)",1989 (Taylor's Version) [Deluxe],27/10/2023,17,0.328,82,0.412,,,
17,Say Don't Go (Taylor's Version) (From The Vault),1989 (Taylor's Version) [Deluxe],27/10/2023,18,0.164,83,0.551,,,
18,Now That We Don't Talk (Taylor's Version) (From The Vault),1989 (Taylor's Version) [Deluxe],27/10/2023,19,0.0831,83,0.501,,,
19,Suburban Legends (Taylor's Version) (From The Vault),1989 (Taylor's Version) [Deluxe],27/10/2023,20,0.323,81,0.625,,,
20,Is It Over Now? (Taylor's Version) (From The Vault),1989 (Taylor's Version) [Deluxe],27/10/2023,21,0.191,84,0.656,,,
21,Bad Blood (feat. Kendrick Lamar) (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,22,0.174,83,0.648,,,
22,Welcome To New York (Taylor's Version),1989 (Taylor's Version),26/10/2023,1,0.674,87,0.607,,,
23,Blank Space (Taylor's Version),1989 (Taylor's Version),26/10/2023,2,0.755,88,0.725,,,
24,Style (Taylor's Version),1989 (Taylor's Version),26/10/2023,3,0.292,89,0.824,,,
25,Out Of The Woods (Taylor's Version),1989 (Taylor's Version),26/10/2023,4,0.192,87,0.885,,,
26,All You Had To Do Was Stay (Taylor's Version),1989 (Taylor's Version),26/10/2023,5,0.481,86,0.72,,,
27,Shake It Off (Taylor's Version),1989 (Taylor's Version),26/10/2023,6,0.921,86,0.807,,,
28,I Wish You Would (Taylor's Version),1989 (Taylor's Version),26/10/2023,7,0.541,85,0.851,,,
29,Bad Blood (Taylor's Version),1989 (Taylor's Version),26/10/2023,8,0.364,85,0.686,,,
30,Wildest Dreams (Taylor's Version),1989 (Taylor's Version),26/10/2023,9,0.514,85,0.672,,,
31,How You Get The Girl (Taylor's Version),1989 (Taylor's Version),26/10/2023,10,0.547,84,0.682,,,
32,This Love (Taylor’s Version),1989 (Taylor's Version),26/10/2023,11,0.0586,83,0.511,,,
33,I Know Places (Taylor's Version),1989 (Taylor's Version),26/10/2023,12,0.68,84,0.803,,,
34,Clean (Taylor's Version),1989 (Taylor's Version),26/10/2023,13,0.239,85,0.386,,,
35,Wonderland (Taylor's Version),1989 (Taylor's Version),26/10/2023,14,0.337,84,0.708,,,
36,You Are In Love (Taylor's Version),1989 (Taylor's Version),26/10/2023,15,0.492,84,0.495,,,
37,New Romantics (Taylor's Version),1989 (Taylor's Version),26/10/2023,16,0.698,86,0.855,,,
